n_iter,feedin_atnode_loss_kW,demand_atnode_kW,feedin_atnode_kW,TotalPower,n_EGID_pvinst,ratio_EGID_pvinst,scen
1,0.0,156451870.7465875,12138093.51969259,11524.756004960458,707,0.05019880715705766,pvalloc_29nbfs_LRG2_gridoptim_max
2,0.0,153301998.78694013,22244428.25084005,12810.249641695664,992,0.12063334280034081,pvalloc_29nbfs_LRG2_gridoptim_max
3,0.0,149823591.26840037,33310450.14863914,15553.317893489424,1366,0.2176228344220392,pvalloc_29nbfs_LRG2_gridoptim_max
4,0.0,145705508.20756593,46827482.54199508,18330.501046373498,1823,0.3470604941777904,pvalloc_29nbfs_LRG2_gridoptim_max
5,0.0,141301511.13149098,63077538.0796834,21132.817495769195,2384,0.5163305879011645,pvalloc_29nbfs_LRG2_gridoptim_max
6,6155.17144304049,136575455.2020953,81971869.793714,23962.731074123883,2823,0.716770803748935,pvalloc_29nbfs_LRG2_gridoptim_max
7,570480.891487979,130529808.64687496,102583983.95153329,26826.370176959703,2912,0.9235302470888952,pvalloc_29nbfs_LRG2_gridoptim_max
8,5067794.465838253,123080087.88648254,125161693.05304956,7267.964158997319,950,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
9,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
10,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
11,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
12,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
13,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
14,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
15,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
16,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
17,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
18,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
19,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
20,8012555.139681691,120904735.91316926,131153891.09799795,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max
1,0.0,156458217.97793475,12130732.97687895,11519.8200253925,706,0.050127804600965636,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
2,0.0,153294528.53164795,22205103.380948406,12811.49186805279,993,0.12063334280034081,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
3,0.0,149820323.35906246,33296182.23626228,15558.091370920889,1367,0.21769383697813122,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
4,0.0,145704348.95931503,46875257.796160094,18332.85267497099,1824,0.34720249928997443,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
5,0.0,141304399.8202184,63123080.37840507,21136.976006547262,2384,0.5164725930133485,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
6,8484.981043422495,136572602.36478215,82009900.76643817,23962.352142394608,2825,0.7170548139733031,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
7,563365.5008394229,130543044.50832324,102590692.9570279,26821.107860166154,2913,0.9238852598693553,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
8,5079287.176706498,123093641.96629034,125167586.8985703,7271.55843262611,945,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
9,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
10,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
11,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
12,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
13,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
14,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
15,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
16,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
17,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
18,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
19,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
20,8015105.174511807,120909070.80630443,131142374.07225968,0.0,0,0.9909826753763136,pvalloc_29nbfs_LRG2_gridoptim_max_1hll
1,0.0,156460670.4000943,12106812.450632345,11525.071919462534,593,0.042104515762567456,pvalloc_29nbfs_LRG2_max
2,0.0,151617544.74077043,20650499.33630851,12807.0679353278,879,0.10451576256745243,pvalloc_29nbfs_LRG2_max
3,0.0,146717489.61353624,30664498.583638318,15557.56689078119,1258,0.19383697813121273,pvalloc_29nbfs_LRG2_max
4,47.462971084104595,140947198.79364422,42794779.93173957,18334.55236502095,1682,0.3132632774779892,pvalloc_29nbfs_LRG2_max
5,26646.47922277057,135296824.66819444,58199678.8714014,21138.64209757162,2289,0.4757881283726214,pvalloc_29nbfs_LRG2_max
6,450569.41386225866,130482538.33170684,78177816.57160023,23965.5565805924,2871,0.6796364669128089,pvalloc_29nbfs_LRG2_max
7,2183924.0657519856,126117061.87515667,101026490.56813174,26822.540039813382,3434,0.9234592445328031,pvalloc_29nbfs_LRG2_max
